id,name,formula,unit,description,levels
1,Vääveldioksiid,SO<sub>2</sub>,µg/m3,Vääveldioksiid eraldub välisõhku valdavalt väävlit sisaldavate kütuste põletamisel. Atmosfääris toimuvate keemiliste reaktsioonide tulemusena muutub väävelhappeks ja sadeneb keskkonda hapestava parameetrina. Pikaajalisel kokkupuutel vääveldioksiidi kõrge kontsentratsiooniga võivad tekkida kopsukahjustused. Kõrge vääveldioksiidi kontsentratsioon sissehingatavas õhus põhjustab bronhide ahenemist ja suurendab lima eritumist. Pikaajaline kokkupuude kahandab kopsufunktsiooni ja kahjustab hingamisteid (sarnane mõju kui kroonilise bronhiidi puhul).,"[{'id': 5, 'code': 'LEVEL_5', 'name': 'Väga halb', 'description': None, 'color': '#f13838', 'count': None, 'limit': 350}, {'id': 4, 'code': 'LEVEL_4', 'name': 'Halb', 'description': None, 'color': '#e2791b', 'count': None, 'limit': 200}, {'id': 3, 'code': 'LEVEL_3', 'name': 'Keskmine', 'description': None, 'color': '#efef33', 'count': None, 'limit': 100}, {'id': 2, 'code': 'LEVEL_2', 'name': 'Hea', 'description': None, 'color': '#80c75e', 'count': None, 'limit': 50}, {'id': 1, 'code': 'LEVEL_1', 'name': 'Väga hea', 'description': None, 'color': '#3ab734', 'count': None, 'limit': 0}]"
3,Lämmastikdioksiid,NO<sub>2</sub>,µg/m3,"Välisõhku satub lämmastikdioksiid põlemisprotsessides kõrgel temperatuuril õhulämmastiku ja hapniku vahelise reaktsiooni tulemusena. Linnakeskkonnas olev lämmastikdioksiid pärineb valdavalt liiklusest, eriti diiselmootoritega autodest. Silmade, nina ja kurgu ärritaja. Võib põhjustada nõrgenenud kopsutalitlust ja suurendada hingamisteede infektsioonide ohtu lastel ja noorukitel. Väga kõrged lämmastikdioksiidi tasemed võivad põhjustada kopsuturset ja hajutatud kopsukahjustusi (diffuse lung injury). Jätkuv kokkupuude kõrgete lämmastikdioksiidi tasemetega põhjustab akuutse või kroonilise bronhiidi teket. Pikaajaline kokkupuude lämmastikdioksiidi madalate kontsentratsioonidega võib põhjustada astmaatikutel bronhide reaktiivsuse suurenemist, kroonilise kopsuobstruktsiooniga inimestel vähenenud kopsutalitlust ja suurendab hingamisteede nakkushaiguste riski, eriti lastel.","[{'id': 5, 'code': 'LEVEL_5', 'name': 'Väga halb', 'description': None, 'color': '#f13838', 'count': None, 'limit': 200}, {'id': 4, 'code': 'LEVEL_4', 'name': 'Halb', 'description': None, 'color': '#e2791b', 'count': None, 'limit': 150}, {'id': 3, 'code': 'LEVEL_3', 'name': 'Keskmine', 'description': None, 'color': '#efef33', 'count': None, 'limit': 75}, {'id': 2, 'code': 'LEVEL_2', 'name': 'Hea', 'description': None, 'color': '#80c75e', 'count': None, 'limit': 50}, {'id': 1, 'code': 'LEVEL_1', 'name': 'Väga hea', 'description': None, 'color': '#3ab734', 'count': None, 'limit': 0}]"
4,Süsinikoksiid,CO,mg/m3,Süsinikoksiid ehk vingugaas tekib süsinikku sisaldavate kütuste mittetäielikul põlemisel. Linnakeskkonnas pärineb süsinikoksiid peamiselt liiklusest ja ahiküttest. Süsinikoksiidil on tugev mõju inimese ja loomade tervisele. Sissehingamisel seotakse süsinikoksiid vere hemoglobiiniga (moodustub karboksühemoglobiin) hapniku asemel. See vähendab punaste vereliblede võimet transportida hapnikku kudedesse ja eriti südamelihasele ja ajusse.,"[{'id': 5, 'code': 'LEVEL_5', 'name': 'Väga halb', 'description': None, 'color': '#f13838', 'count': None, 'limit': 5}, {'id': 4, 'code': 'LEVEL_4', 'name': 'Halb', 'description': None, 'color': '#e2791b', 'count': None, 'limit': 2.5}, {'id': 3, 'code': 'LEVEL_3', 'name': 'Keskmine', 'description': None, 'color': '#efef33', 'count': None, 'limit': 1}, {'id': 2, 'code': 'LEVEL_2', 'name': 'Hea', 'description': None, 'color': '#80c75e', 'count': None, 'limit': 0.5}, {'id': 1, 'code': 'LEVEL_1', 'name': 'Väga hea', 'description': None, 'color': '#3ab734', 'count': None, 'limit': 0}]"
6,Osoon,O<sub>3</sub>,µg/m3,"Maapinnalähedane (troposfääri) osoon moodustub lämmastiku oksiidide, süsinikoksiidi ja orgaaniliste süsivesinike vahelistel fotokeemilistel reaktsioonidel atmosfääris. Tingituna asjaolust, et osad osooni eeldusained nagu lämmastikoksiidid ja metaan võivad kanduda algsest emissioonipaigast väga kaugele on osoonisaaste sageli maapiirkondade probleem. Osooni näol on tegemist akuutse saasteainega, mis võib põhjustada kardiovaskulaarseid tervisehäireid. Osoon põhjustab kudede kahjustusi, kahjustades hingamisteid katvaid rakke, põhjustades paistetusi ja põletikulisi protsesse. Lisaks ärritab osoon hingamisteid: köha, ärritatud kurk jms ebameeldivad vaevused rinnus. Vähendab kopsufunktsiooni takistades sügavalt hingamist ja põhjustades seeläbi hapnikuvaegust kudedes. Süvendab astmat hingamisteede ahenemise kaudu.","[{'id': 5, 'code': 'LEVEL_5', 'name': 'Väga halb', 'description': None, 'color': '#f13838', 'count': None, 'limit': 180}, {'id': 4, 'code': 'LEVEL_4', 'name': 'Halb', 'description': None, 'color': '#e2791b', 'count': None, 'limit': 120}, {'id': 3, 'code': 'LEVEL_3', 'name': 'Keskmine', 'description': None, 'color': '#efef33', 'count': None, 'limit': 75}, {'id': 2, 'code': 'LEVEL_2', 'name': 'Hea', 'description': None, 'color': '#80c75e', 'count': None, 'limit': 50}, {'id': 1, 'code': 'LEVEL_1', 'name': 'Väga hea', 'description': None, 'color': '#3ab734', 'count': None, 'limit': 0}]"
8,Lenduvad orgaanilised ühendid,NMHC,µg/m3,"Lenduvad orgaanilised ühendid ehk LOÜ (volatile organic compounds – VOC) on üldnimetus õhus sisalduvate orgaaniliste saasteainete kohta (temperatuuril 20°C on aururõhk > 0,01 kPa). Hõlmab väga toksilisi kui suhteliselt inertseid keemilisi ühendeid. Kuna LOÜ on üldnimetus ei saa välja tuua ühte konkreetset toimemehhanismi. LOÜ alla kuuluvad näiteks benseen, tolueen, atsetoon, formaldehüüd, atsetaldehüüd, alifaatsed süsivesinikud jne.","[{'id': 5, 'code': 'LEVEL_5', 'name': 'Väga halb', 'description': None, 'color': '#f13838', 'count': None, 'limit': 5000}, {'id': 4, 'code': 'LEVEL_4', 'name': 'Halb', 'description': None, 'color': '#e2791b', 'count': None, 'limit': 2000}, {'id': 3, 'code': 'LEVEL_3', 'name': 'Keskmine', 'description': None, 'color': '#efef33', 'count': None, 'limit': 1000}, {'id': 2, 'code': 'LEVEL_2', 'name': 'Hea', 'description': None, 'color': '#80c75e', 'count': None, 'limit': 500}, {'id': 1, 'code': 'LEVEL_1', 'name': 'Väga hea', 'description': None, 'color': '#3ab734', 'count': None, 'limit': 0}]"
10,Ammoniaak,NH<sub>3</sub>,ug/m3,"Ammoniaak on terava ja ärritava lõhnaga gaas, mis satub välisõhku peamiselt loomapidamisest. Samuti eraldub ammoniaaki välisõhku osadest külmutusseadmetest kus ammoniaaki kasutatakse külmutusagendina. Välisõhus on ammoniaagi lubatud tunnikeskmiseks sisalduseks 200 µg/m³.","[{'id': 5, 'code': 'LEVEL_5', 'name': 'Väga halb', 'description': None, 'color': '#f13838', 'count': None, 'limit': 1000}, {'id': 4, 'code': 'LEVEL_4', 'name': 'Halb', 'description': None, 'color': '#e2791b', 'count': None, 'limit': 750}, {'id': 3, 'code': 'LEVEL_3', 'name': 'Keskmine', 'description': None, 'color': '#efef33', 'count': None, 'limit': 500}, {'id': 2, 'code': 'LEVEL_2', 'name': 'Hea', 'description': None, 'color': '#80c75e', 'count': None, 'limit': 200}, {'id': 1, 'code': 'LEVEL_1', 'name': 'Väga hea', 'description': None, 'color': '#3ab734', 'count': None, 'limit': 0}]"
11,Vesiniksulfiid,H<sub>2</sub>S,ug/m3,"Vesiniksulfiid on ebameeldiva lõhnaga (mädamuna lõhnaga) gaas, mis tekib bioloogilise materjali anaeroobsel käärimisel (veepuhastusjaamad, põllumajandus jne). Vesiniksulfiidi eraldub välisõhku ka mitmete naftaproduktide (eelkõige raske kütteõli) ja põlevkiviõli laadimisel ja soojendamisel. Välisõhus esinevad tasemed on enamasti madalamad ebasoodsat tervisemõju põhjustavatest tasemetest kuid tingituna ebameeldivast lõhnast mõjub häirivalt. Välisõhus on vesiniksulfiidi maksimaalne lubatud kontsentratsioon 8 µg/m³.","[{'id': 5, 'code': 'LEVEL_5', 'name': 'Väga halb', 'description': None, 'color': '#f13838', 'count': None, 'limit': 8}, {'id': 4, 'code': 'LEVEL_4', 'name': 'Halb', 'description': None, 'color': '#e2791b', 'count': None, 'limit': 5}, {'id': 3, 'code': 'LEVEL_3', 'name': 'Keskmine', 'description': None, 'color': '#efef33', 'count': None, 'limit': 2}, {'id': 2, 'code': 'LEVEL_2', 'name': 'Hea', 'description': None, 'color': '#80c75e', 'count': None, 'limit': 1}, {'id': 1, 'code': 'LEVEL_1', 'name': 'Väga hea', 'description': None, 'color': '#3ab734', 'count': None, 'limit': 0}]"
13,Elavhõbe,Hg,ng/m3,Elavhõbe esineb välisõhus gaasilisel kujul. Elavhõbeda aurud on inimese tervisele ohtlikud.  Elavhõbe on üks EL prioriteetsetest välisõhu saasteainetest.,"[{'id': 5, 'code': 'LEVEL_5', 'name': 'Väga halb', 'description': None, 'color': '#f13838', 'count': None, 'limit': 5}, {'id': 4, 'code': 'LEVEL_4', 'name': 'Halb', 'description': None, 'color': '#e2791b', 'count': None, 'limit': 3}, {'id': 3, 'code': 'LEVEL_3', 'name': 'Keskmine', 'description': None, 'color': '#efef33', 'count': None, 'limit': 2}, {'id': 2, 'code': 'LEVEL_2', 'name': 'Hea', 'description': None, 'color': '#80c75e', 'count': None, 'limit': 1}, {'id': 1, 'code': 'LEVEL_1', 'name': 'Väga hea', 'description': None, 'color': '#3ab734', 'count': None, 'limit': 0}]"
14,Benseen,C<sub>6</sub>H<sub>6</sub>,µg/m3,"Benseen on lihtsaima struktuuriga aromaatne süsivesinik. Välisõhku satub benseen liiklusest (põlemata bensiinijäägid), naftaproduktide laadimisest ja värvide/lakkide kasutamisest. Benseen on pikaajalisel kokkupuutel kantserogeense (vähki tekitav) toimega. Välisõhus on benseeni tunnikeskmine lubatud kontsentratsioon 200 µg/m³ ja aastakeskmine kontsentratsioon 5 µg/m³.","[{'id': 5, 'code': 'LEVEL_5', 'name': 'Väga halb', 'description': None, 'color': '#f13838', 'count': None, 'limit': 200}, {'id': 4, 'code': 'LEVEL_4', 'name': 'Halb', 'description': None, 'color': '#e2791b', 'count': None, 'limit': 100}, {'id': 3, 'code': 'LEVEL_3', 'name': 'Keskmine', 'description': None, 'color': '#efef33', 'count': None, 'limit': 50}, {'id': 2, 'code': 'LEVEL_2', 'name': 'Hea', 'description': None, 'color': '#80c75e', 'count': None, 'limit': 25}, {'id': 1, 'code': 'LEVEL_1', 'name': 'Väga hea', 'description': None, 'color': '#3ab734', 'count': None, 'limit': 0}]"
16,Tolueen,C<sub>7</sub>H<sub>8</sub>,µg/m3,,"[{'id': 5, 'code': 'LEVEL_5', 'name': 'Väga halb', 'description': None, 'color': '#f13838', 'count': None, 'limit': 200}, {'id': 4, 'code': 'LEVEL_4', 'name': 'Halb', 'description': None, 'color': '#e2791b', 'count': None, 'limit': 100}, {'id': 3, 'code': 'LEVEL_3', 'name': 'Keskmine', 'description': None, 'color': '#efef33', 'count': None, 'limit': 50}, {'id': 2, 'code': 'LEVEL_2', 'name': 'Hea', 'description': None, 'color': '#80c75e', 'count': None, 'limit': 25}, {'id': 1, 'code': 'LEVEL_1', 'name': 'Väga hea', 'description': None, 'color': '#3ab734', 'count': None, 'limit': 0}]"
